ux_l,ux_r,uy_t,uy_b
 -0.0, 1.7735947227745147e-09, 1.1092643337606444e-07, 1.1268027832431838e-07
 -0.0, 1.7345947923994391e-09, 1.0922860835136119e-07, 1.1092643337606444e-07
 -0.0, 1.6889304735365552e-09, 1.0756818601471021e-07, 1.0922860835136119e-07
 -0.0, 1.6436147001367043e-09, 1.0595379668720004e-07, 1.0756818601471021e-07
 -0.0, 1.5922050808674226e-09, 1.0437833685071911e-07, 1.0595379668720004e-07
 -0.0, 1.5443486775417487e-09, 1.0283891764243913e-07, 1.0437833685071911e-07
 -0.0, 1.5094604572273186e-09, 1.0134353549980494e-07, 1.0283891764243913e-07
 -0.0, 1.4732069187709573e-09, 9.98800179699401e-08, 1.0134353549980494e-07
 -0.0, 1.443335730389588e-09, 9.845066659022327e-08, 9.98800179699401e-08
 -0.0, 1.4142012000984104e-09, 9.706232809660223e-08, 9.845066659022327e-08
 -0.0, 1.3752713738654244e-09, 9.57037391526049e-08, 9.706232809660223e-08
 -0.0, 1.3429520717962185e-09, 9.437574659953294e-08, 9.57037391526049e-08
 -0.0, 1.311889728174414e-09, 9.307683494584338e-08, 9.437574659953294e-08
 -0.0, 1.2813139433923671e-09, 9.179716702856003e-08, 9.307683494584338e-08
 -0.0, 1.2632056635930932e-09, 9.055443082259684e-08, 9.179716702856003e-08
 -0.0, 1.239268993908734e-09, 8.934059171515998e-08, 9.055443082259684e-08
 -0.0, 1.2135249662805513e-09, 8.815471396315434e-08, 8.934059171515998e-08
 -0.0, 1.189093919509627e-09, 8.699442962880685e-08, 8.815471396315434e-08
 -0.0, 1.1576279099331326e-09, 8.584814413486486e-08, 8.699442962880685e-08
 -0.0, 1.1312102835757883e-09, 8.471923311778924e-08, 8.584814413486486e-08
 -0.0, 1.1121042581434132e-09, 8.361480226922555e-08, 8.471923311778924e-08
 -0.0, 1.0916119287821414e-09, 8.253189818565477e-08, 8.361480226922555e-08
 -0.0, 1.0766547461149013e-09, 8.147262396531046e-08, 8.253189818565477e-08
 -0.0, 1.0608321924037775e-09, 8.043398840791013e-08, 8.147262396531046e-08
 -0.0, 1.0358953565935039e-09, 7.940043445022081e-08, 8.043398840791013e-08
 -0.0, 1.017009531251867e-09, 7.838434383542773e-08, 7.940043445022081e-08
 -0.0, 9.93729959341335e-10, 7.737816596444062e-08, 7.838434383542773e-08
 -0.0, 9.73520334779649e-10, 7.638739921438643e-08, 7.737816596444062e-08
 -0.0, 9.615467383600026e-10, 7.541868809388451e-08, 7.638739921438643e-08
 -0.0, 9.458251527195696e-10, 7.445947899883453e-08, 7.541868809388451e-08
 -0.0, 9.324451111536381e-10, 7.351028609900475e-08, 7.445947899883453e-08
 -0.0, 9.188490980585521e-10, 7.257087490053041e-08, 7.351028609900475e-08
 -0.0, 8.999156397122945e-10, 7.163432400907912e-08, 7.257087490053041e-08
 -0.0, 8.851519703454708e-10, 7.071070855245902e-08, 7.163432400907912e-08
 -0.0, 8.733924533736496e-10, 6.980284255291026e-08, 7.071070855245902e-08
 -0.0, 8.612144563031534e-10, 6.890404705010423e-08, 6.980284255291026e-08
 -0.0, 8.560406838110364e-10, 6.802194736415489e-08, 6.890404705010423e-08
 -0.0, 8.477092508379954e-10, 6.714504235543473e-08, 6.802194736415489e-08
 -0.0, 8.364178224285024e-10, 6.626976247930231e-08, 6.714504235543473e-08
 -0.0, 8.26761265503378e-10, 6.539944981946474e-08, 6.626976247930231e-08
 -0.0, 8.120248915417851e-10, 6.453016423961009e-08, 6.539944981946474e-08
 -0.0, 8.002268109009349e-10, 6.366733359456501e-08, 6.453016423961009e-08
 -0.0, 7.934567420208792e-10, 6.281993472294064e-08, 6.366733359456501e-08
 -0.0, 7.844472487650849e-10, 6.198181800130032e-08, 6.281993472294064e-08
 -0.0, 7.819512347984167e-10, 6.116091099922231e-08, 6.198181800130032e-08
 -0.0, 7.76360855031667e-10, 6.035143801243032e-08, 6.116091099922231e-08
 -0.0, 7.683349207139476e-10, 5.95492676621905e-08, 6.035143801243032e-08
 -0.0, 7.62596968761208e-10, 5.8759499070017014e-08, 5.95492676621905e-08
 -0.0, 7.525474072232308e-10, 5.7973385026899814e-08, 5.8759499070017014e-08
 -0.0, 7.461823686025656e-10, 5.7198117789374364e-08, 5.7973385026899814e-08
 -0.0, 7.414849157873479e-10, 5.6428514443027784e-08, 5.7198117789374364e-08
 -0.0, 7.361516030229445e-10, 5.566435236304418e-08, 5.6428514443027784e-08
 -0.0, 7.327116734650003e-10, 5.490490742592246e-08, 5.566435236304418e-08
 -0.0, 7.280296590684485e-10, 5.414655357111689e-08, 5.490490742592246e-08
 -0.0, 7.193123705915523e-10, 5.338584183994146e-08, 5.414655357111689e-08
 -0.0, 7.137116818278277e-10, 5.2629397983148454e-08, 5.338584183994146e-08
 -0.0, 7.04487634040595e-10, 5.187168933675251e-08, 5.2629397983148454e-08
 -0.0, 6.981890578186356e-10, 5.1120794447248496e-08, 5.187168933675251e-08
 -0.0, 6.972938671836253e-10, 5.038382051914291e-08, 5.1120794447248496e-08
 -0.0, 6.928068101723788e-10, 4.9647229935052394e-08, 5.038382051914291e-08
 -0.0, 6.964230463275875e-10, 4.8926967271321744e-08, 4.9647229935052394e-08
 -0.0, 6.941135298720162e-10, 4.820578313858955e-08, 4.8926967271321744e-08
 -0.0, 6.90229540613255e-10, 4.748137811016039e-08, 4.820578313858955e-08
 -0.0, 6.865018049792993e-10, 4.675639604919559e-08, 4.748137811016039e-08
 -0.0, 6.769058103164817e-10, 4.602150163824691e-08, 4.675639604919559e-08
 -0.0, 6.714830986667439e-10, 4.528346821760535e-08, 4.602150163824691e-08
 -0.0, 6.678929358197213e-10, 4.455088246605717e-08, 4.528346821760535e-08
 -0.0, 6.643135291196398e-10, 4.3821454099462584e-08, 4.455088246605717e-08
 -0.0, 6.646785622060395e-10, 4.309936957472338e-08, 4.3821454099462584e-08
 -0.0, 6.624550471002092e-10, 4.238331358529459e-08, 4.309936957472338e-08
 -0.0, 6.570261710025215e-10, 4.1660494063670695e-08, 4.238331358529459e-08
 -0.0, 6.543307903667347e-10, 4.093595915859752e-08, 4.1660494063670695e-08
 -0.0, 6.45954827140046e-10, 4.020146081840266e-08, 4.093595915859752e-08
 -0.0, 6.428415098419844e-10, 3.947092211072383e-08, 4.020146081840266e-08
 -0.0, 6.395480469747988e-10, 3.874301445270397e-08, 3.947092211072383e-08
 -0.0, 6.355159040023111e-10, 3.801588084280693e-08, 3.874301445270397e-08
 -0.0, 6.363872663901821e-10, 3.729350869313718e-08, 3.801588084280693e-08
 -0.0, 6.33728849164056e-10, 3.6559169601181026e-08, 3.729350869313718e-08
 -0.0, 6.347359007222724e-10, 3.5825997667981434e-08, 3.6559169601181026e-08
 -0.0, 6.343412579703334e-10, 3.509772983775294e-08, 3.5825997667981434e-08
 -0.0, 6.328781883594566e-10, 3.437308900130793e-08, 3.509772983775294e-08
 -0.0, 6.304188906319994e-10, 3.365591930542532e-08, 3.437308900130793e-08
 -0.0, 6.254444712654145e-10, 3.293785546620784e-08, 3.365591930542532e-08
 -0.0, 6.224540112245385e-10, 3.221469158387746e-08, 3.293785546620784e-08
 -0.0, 6.201877680085117e-10, 3.1494391394043465e-08, 3.221469158387746e-08
 -0.0, 6.192186875874239e-10, 3.078355727863486e-08, 3.1494391394043465e-08
 -0.0, 6.210536427045105e-10, 3.007944096105823e-08, 3.078355727863486e-08
 -0.0, 6.204949824669221e-10, 2.937864797926778e-08, 3.007944096105823e-08
 -0.0, 6.19266817472367e-10, 2.867633615283867e-08, 2.937864797926778e-08
 -0.0, 6.205840876257289e-10, 2.7979546581937245e-08, 2.867633615283867e-08
 -0.0, 6.178868197758392e-10, 2.7285766618321818e-08, 2.7979546581937245e-08
 -0.0, 6.176275515174827e-10, 2.6602949224736863e-08, 2.7285766618321818e-08
 -0.0, 6.159527209514598e-10, 2.5924841250995325e-08, 2.6602949224736863e-08
 -0.0, 6.141024215859558e-10, 2.5240848813747165e-08, 2.5924841250995325e-08
 -0.0, 6.158392246402085e-10, 2.4565390472311478e-08, 2.5240848813747165e-08
 -0.0, 6.159700721900715e-10, 2.3894293774277935e-08, 2.4565390472311478e-08
 -0.0, 6.199433593921256e-10, 2.323095293092438e-08, 2.3894293774277935e-08
